state_abb,state,year,governor_party,
MA,Massachusetts,2017,R,
MD,Maryland,2024,D,
MD,Maryland,2023,D,
MD,Maryland,2022,R,
MD,Maryland,2021,R,
MD,Maryland,2020,R,
MD,Maryland,2019,R,
MD,Maryland,2018,R,
MD,Maryland,2017,R,
ME,Maine,2024,D,
ME,Maine,2023,D,
ME,Maine,2022,D,
ME,Maine,2021,D,
ME,Maine,2020,D,
ME,Maine,2019,D,
ME,Maine,2018,R,
ME,Maine,2017,R,
MI,Michigan,2024,D,
MI,Michigan,2023,D,
MI,Michigan,2022,D,
MI,Michigan,2021,D,
MI,Michigan,2020,D,
MI,Michigan,2019,D,
MI,Michigan,2018,R,
MI,Michigan,2017,R,
MN,Minnesota,2024,D,
MN,Minnesota,2023,D,
MN,Minnesota,2022,D,
MN,Minnesota,2021,D,
MN,Minnesota,2020,D,
MN,Minnesota,2019,D,
MN,Minnesota,2018,D,
MN,Minnesota,2017,D,
MO,Missouri,2024,R,
MO,Missouri,2023,R,
MO,Missouri,2022,R,
MO,Missouri,2021,R,
MO,Missouri,2020,R,
MO,Missouri,2019,R,
MO,Missouri,2018,R,
MO,Missouri,2017,R,
MS,Mississippi,2024,R,
MS,Mississippi,2023,R,
MS,Mississippi,2022,R,
MS,Mississippi,2021,R,
MS,Mississippi,2020,R,
MS,Mississippi,2019,R,
MS,Mississippi,2018,R,
MS,Mississippi,2017,R,
MT,Montana,2024,R,
MT,Montana,2023,R,
MT,Montana,2022,R,
MT,Montana,2021,R,
MT,Montana,2020,D,
MT,Montana,2019,D,
MT,Montana,2018,D,
MT,Montana,2017,D,
NC,North_Carolina,2024,D,North_Carolina
NC,North_Carolina,2023,D,
NC,North_Carolina,2022,D,
NC,North_Carolina,2021,D,
NC,North_Carolina,2020,D,
NC,North_Carolina,2019,D,
NC,North_Carolina,2018,D,
NC,North_Carolina,2017,D,
ND,North_Dakota,2024,R,
ND,North_Dakota,2023,R,
ND,North_Dakota,2022,R,
ND,North_Dakota,2021,R,
ND,North_Dakota,2020,R,
ND,North_Dakota,2019,R,
ND,North_Dakota,2018,R,
ND,North_Dakota,2017,R,
NE,Nebraska,2024,R,
NE,Nebraska,2023,R,
NE,Nebraska,2022,R,
NE,Nebraska,2021,R,
NE,Nebraska,2020,R,
NE,Nebraska,2019,R,
NE,Nebraska,2018,R,
NE,Nebraska,2017,R,
NH,New_Hampshire,2024,R,
NH,New_Hampshire,2023,R,
NH,New_Hampshire,2022,R,
NH,New_Hampshire,2021,R,
NH,New_Hampshire,2020,R,
NH,New_Hampshire,2019,R,
NH,New_Hampshire,2018,R,
NH,New_Hampshire,2017,R,
NJ,New_Jersey,2024,D,
NJ,New_Jersey,2023,D,
NJ,New_Jersey,2022,D,
NJ,New_Jersey,2021,D,
NJ,New_Jersey,2020,D,
NJ,New_Jersey,2019,D,
NJ,New_Jersey,2018,D,
NJ,New_Jersey,2017,R,
NM,New_Mexico,2024,D,
NM,New_Mexico,2023,D,
NM,New_Mexico,2022,D,
NM,New_Mexico,2021,D,
NM,New_Mexico,2020,D,
NM,New_Mexico,2019,D,
NM,New_Mexico,2018,R,
NM,New_Mexico,2017,R,
NV,Nevada,2024,R,
NV,Nevada,2023,R,
NV,Nevada,2022,D,
NV,Nevada,2021,D,
NV,Nevada,2020,D,
NV,Nevada,2019,D,
NV,Nevada,2018,R,
NV,Nevada,2017,R,
NY,New_York,2024,D,
NY,New_York,2023,D,
NY,New_York,2022,D,
NY,New_York,2021,D,
NY,New_York,2020,D,
NY,New_York,2019,D,
NY,New_York,2018,D,
NY,New_York,2017,D,
OH,Ohio,2024,R,
OH,Ohio,2023,R,
OH,Ohio,2022,R,
OH,Ohio,2021,R,
OH,Ohio,2020,R,
OH,Ohio,2019,R,
OH,Ohio,2018,R,
OH,Ohio,2017,R,
OK,Oklahoma,2024,R,
OK,Oklahoma,2023,R,
OK,Oklahoma,2022,R,
OK,Oklahoma,2021,R,
OK,Oklahoma,2020,R,
OK,Oklahoma,2019,R,
OK,Oklahoma,2018,R,
OK,Oklahoma,2017,R,
OR,Oregon,2024,D,
OR,Oregon,2023,D,
OR,Oregon,2022,D,
OR,Oregon,2021,D,
OR,Oregon,2020,D,
OR,Oregon,2019,D,
OR,Oregon,2018,D,
OR,Oregon,2017,D,
PA,Pennsylvania,2024,D,
PA,Pennsylvania,2023,D,
PA,Pennsylvania,2022,D,
PA,Pennsylvania,2021,D,
PA,Pennsylvania,2020,D,
PA,Pennsylvania,2019,D,
PA,Pennsylvania,2018,D,
PA,Pennsylvania,2017,D,
RI,Rhode_Island,2024,D,
RI,Rhode_Island,2023,D,
RI,Rhode_Island,2022,D,
RI,Rhode_Island,2021,D,
RI,Rhode_Island,2020,D,
RI,Rhode_Island,2019,D,
RI,Rhode_Island,2018,D,
RI,Rhode_Island,2017,D,
SC,South_Carolina,2024,R,
SC,South_Carolina,2023,R,
SC,South_Carolina,2022,R,
SC,South_Carolina,2021,R,
SC,South_Carolina,2020,R,
SC,South_Carolina,2019,R,
SC,South_Carolina,2018,R,
SC,South_Carolina,2017,R,
SD,South_Dakota,2024,R,
SD,South_Dakota,2023,R,
SD,South_Dakota,2022,R,
SD,South_Dakota,2021,R,
SD,South_Dakota,2020,R,
SD,South_Dakota,2019,R,
SD,South_Dakota,2018,R,
SD,South_Dakota,2017,R,
TN,Tennessee,2024,R,
TN,Tennessee,2023,R,
TN,Tennessee,2022,R,
TN,Tennessee,2021,R,
TN,Tennessee,2020,R,
TN,Tennessee,2019,R,
TN,Tennessee,2018,R,
TN,Tennessee,2017,R,
TX,Texas,2024,R,
TX,Texas,2023,R,
TX,Texas,2022,R,
TX,Texas,2021,R,
TX,Texas,2020,R,
TX,Texas,2019,R,
TX,Texas,2018,R,
TX,Texas,2017,R,
UT,Utah,2024,R,
UT,Utah,2023,R,
UT,Utah,2022,R,
UT,Utah,2021,R,
UT,Utah,2020,R,
UT,Utah,2019,R,
UT,Utah,2018,R,
UT,Utah,2017,R,
VA,Virginia,2024,R,
VA,Virginia,2023,R,
VA,Virginia,2022,R,
VA,Virginia,2021,D,
VA,Virginia,2020,D,
VA,Virginia,2019,D,
VA,Virginia,2018,D,
VA,Virginia,2017,D,
VT,Vermont,2024,R,
VT,Vermont,2023,R,
VT,Vermont,2022,R,
VT,Vermont,2021,R,
VT,Vermont,2020,R,
VT,Vermont,2019,R,
VT,Vermont,2018,R,
VT,Vermont,2017,R,
WA,Washington,2024,D,
WA,Washington,2023,D,
WA,Washington,2022,D,
WA,Washington,2021,D,
WA,Washington,2020,D,
WA,Washington,2019,D,
WA,Washington,2018,D,
WA,Washington,2017,D,
WI,Wisconsin,2024,D,
WI,Wisconsin,2023,D,
WI,Wisconsin,2022,D,
WI,Wisconsin,2021,D,
WI,Wisconsin,2020,D,
WI,Wisconsin,2019,D,
WI,Wisconsin,2018,R,
WI,Wisconsin,2017,R,
WV,West_Virginia,2024,R,
WV,West_Virginia,2023,R,
WV,West_Virginia,2022,R,
WV,West_Virginia,2021,R,
WV,West_Virginia,2020,D,
WV,West_Virginia,2019,D,
WV,West_Virginia,2018,D,
WV,West_Virginia,2017,D,
WY,Wyoming,2024,R,
WY,Wyoming,2023,R,
WY,Wyoming,2022,R,
WY,Wyoming,2021,R,
WY,Wyoming,2020,R,
WY,Wyoming,2019,R,
WY,Wyoming,2018,R,
WY,Wyoming,2017,R,
