,Unnamed: 0,measure_id,measure_name,location_id,location_name,fips,race_id,race_name,sex_id,sex_name,age_group_id,age_name,cause_id,cause_name,year,metric_id,metric_name,val,upper,lower,state_name,county_fips,low_income_pct,obgyn_provider_rate_100k,prenatal_care_first_trimester_pct,obesity_pre_pregnancy_pct,diabetes_pre_pregnancy_pct,hypertension_pre_pregnancy_pct,State Abbreviation,State,guttmacher_index,state,gop_trifecta
10,3648090,1,Deaths,608,Chilton County (Alabama),1021.0,1,Total,2,Female,22,All Ages,962,Maternal and neonatal disorders,2019,3,Rate,5.78005302876602e-05,7.45603611686686e-05,4.30820411090901e-05,Alabama,1021.0,28.0,0.0,72.3,37.1,0.8,3.3,AL,Alabama,most_restrictive,Alabama,1
11,3648096,1,Deaths,621,Choctaw County (Alabama),1023.0,1,Total,2,Female,22,All Ages,962,Maternal and neonatal disorders,2019,3,Rate,4.85256463088011e-05,6.77948516507324e-05,3.41705602287762e-05,Alabama,1023.0,33.4,0.0,79.1,39.7,1.0,5.3,AL,Alabama,most_restrictive,Alabama,1
12,3648102,1,Deaths,627,Clarke County (Alabama),1025.0,1,Total,2,Female,22,All Ages,962,Maternal and neonatal disorders,2019,3,Rate,4.66160129077332e-05,6.34410945004089e-05,3.25054761361369e-05,Alabama,1025.0,33.5,0.0,74.1,40.3,1.3,6.5,AL,Alabama,most_restrictive,Alabama,1
13,3648108,1,Deaths,602,Clay County (Alabama),1027.0,1,Total,2,Female,22,All Ages,962,Maternal and neonatal disorders,2019,3,Rate,5.09810290555979e-05,7.17045639180344e-05,3.39402661433874e-05,Alabama,1027.0,35.3,0.0,76.3,36.6,0.9,2.4,AL,Alabama,most_restrictive,Alabama,1
14,3648114,1,Deaths,594,Cleburne County (Alabama),1029.0,1,Total,2,Female,22,All Ages,962,Maternal and neonatal disorders,2019,3,Rate,4.34241119572129e-05,5.81067806425563e-05,3.07778962005576e-05,Alabama,1029.0,25.6,0.0,74.1,35.6,0.9,2.5,AL,Alabama,most_restrictive,Alabama,1
15,3648120,1,Deaths,633,Coffee County (Alabama),1031.0,1,Total,2,Female,22,All Ages,962,Maternal and neonatal disorders,2019,3,Rate,3.42727687697947e-05,4.83306429936635e-05,2.28367841551839e-05,Alabama,1031.0,27.8,14.8,69.3,37.5,0.9,3.1,AL,Alabama,most_restrictive,Alabama,1
16,3648126,1,Deaths,578,Colbert County (Alabama),1033.0,1,Total,2,Female,22,All Ages,962,Maternal and neonatal disorders,2019,3,Rate,4.51461852868392e-05,6.15108403429828e-05,3.13408599176725e-05,Alabama,1033.0,29.3,10.4,69.5,35.9,1.5,2.8,AL,Alabama,most_restrictive,Alabama,1
17,3648132,1,Deaths,631,Conecuh County (Alabama),1035.0,1,Total,2,Female,22,All Ages,962,Maternal and neonatal disorders,2019,3,Rate,4.70841976447742e-05,6.86038829046736e-05,3.05963081028387e-05,Alabama,1035.0,37.7,0.0,75.7,43.4,1.7,4.3,AL,Alabama,most_restrictive,Alabama,1
18,3648138,1,Deaths,607,Coosa County (Alabama),1037.0,1,Total,2,Female,22,All Ages,962,Maternal and neonatal disorders,2019,3,Rate,4.75118315498876e-05,6.3496463034326e-05,3.47195408184793e-05,Alabama,1037.0,28.3,18.8,74.8,33.0,0.8,4.0,AL,Alabama,most_restrictive,Alabama,1
19,3648144,1,Deaths,635,Covington County (Alabama),1039.0,1,Total,2,Female,22,All Ages,962,Maternal and neonatal disorders,2019,3,Rate,4.02446170615785e-05,5.41745357260049e-05,2.90535816863287e-05,Alabama,1039.0,35.1,10.5,73.0,34.8,1.3,3.1,AL,Alabama,most_restrictive,Alabama,1
20,3648150,1,Deaths,626,Crenshaw County (Alabama),1041.0,1,Total,2,Female,22,All Ages,962,Maternal and neonatal disorders,2019,3,Rate,4.02937125222774e-05,5.55529889136996e-05,2.78657283337858e-05,Alabama,1041.0,31.3,0.0,74.9,39.4,1.2,3.2,AL,Alabama,most_restrictive,Alabama,1
21,3648156,1,Deaths,586,Cullman County (Alabama),1043.0,1,Total,2,Female,22,All Ages,962,Maternal and neonatal disorders,2019,3,Rate,4.20146199279929e-05,5.56580233683839e-05,3.1227284061013e-05,Alabama,1043.0,28.1,9.4,66.9,32.1,1.3,2.6,AL,Alabama,most_restrictive,Alabama,1
22,3648162,1,Deaths,634,Dale County (Alabama),1045.0,1,Total,2,Female,22,All Ages,962,Maternal and neonatal disorders,2019,3,Rate,5.29863108945074e-05,6.91311631977345e-05,3.78036058961792e-05,Alabama,1045.0,32.3,16.0,70.0,39.5,0.9,3.4,AL,Alabama,most_restrictive,Alabama,1
23,3648168,1,Deaths,615,Dallas County (Alabama),1047.0,1,Total,2,Female,22,All Ages,962,Maternal and neonatal disorders,2019,3,Rate,5.70792520275394e-05,7.49946286584677e-05,4.1444413924021e-05,Alabama,1047.0,44.3,25.8,61.3,44.4,1.2,3.7,AL,Alabama,most_restrictive,Alabama,1
24,3648174,1,Deaths,579,DeKalb County (Alabama),1049.0,1,Total,2,Female,22,All Ages,962,Maternal and neonatal disorders,2019,3,Rate,4.65978115058903e-05,6.06596828298238e-05,3.48529332300916e-05,Alabama,1049.0,37.3,13.9,65.6,32.6,1.3,2.6,AL,Alabama,most_restrictive,Alabama,1
25,3648180,1,Deaths,612,Elmore County (Alabama),1051.0,1,Total,2,Female,22,All Ages,962,Maternal and neonatal disorders,2019,3,Rate,4.38145854878368e-05,5.75975630848728e-05,3.28162042049203e-05,Alabama,1051.0,22.2,0.0,73.5,34.0,1.0,2.4,AL,Alabama,most_restrictive,Alabama,1
26,3648186,1,Deaths,638,Escambia County (Alabama),1053.0,1,Total,2,Female,22,All Ages,962,Maternal and neonatal disorders,2019,3,Rate,4.80111427441731e-05,6.34551321893006e-05,3.47504284848486e-05,Alabama,1053.0,38.8,11.1,77.5,37.9,1.3,3.2,AL,Alabama,most_restrictive,Alabama,1
27,3648192,1,Deaths,589,Etowah County (Alabama),1055.0,1,Total,2,Female,22,All Ages,962,Maternal and neonatal disorders,2019,3,Rate,5.23853658263825e-05,6.64181514261852e-05,4.01281973245566e-05,Alabama,1055.0,31.3,7.6,65.5,36.6,1.0,3.0,AL,Alabama,most_restrictive,Alabama,1
28,3648198,1,Deaths,595,Fayette County (Alabama),1057.0,1,Total,2,Female,22,All Ages,962,Maternal and neonatal disorders,2019,3,Rate,5.23222367349654e-05,7.41622913467758e-05,3.5543546256082e-05,Alabama,1057.0,37.9,24.1,64.6,33.8,0.9,2.9,AL,Alabama,most_restrictive,Alabama,1
29,3648204,1,Deaths,583,Franklin County (Alabama),1059.0,1,Total,2,Female,22,All Ages,962,Maternal and neonatal disorders,2019,3,Rate,5.58484930081531e-05,7.5086379357538e-05,3.93902790013942e-05,Alabama,1059.0,37.6,0.0,57.7,33.2,1.6,2.7,AL,Alabama,most_restrictive,Alabama,1
30,3648210,1,Deaths,639,Geneva County (Alabama),1061.0,1,Total,2,Female,22,All Ages,962,Maternal and neonatal disorders,2019,3,Rate,3.87048435112796e-05,5.27563266878965e-05,2.67580224223884e-05,Alabama,1061.0,36.5,0.0,72.7,38.1,1.0,3.2,AL,Alabama,most_restrictive,Alabama,1
31,3648216,1,Deaths,604,Greene County (Alabama),1063.0,1,Total,2,Female,22,All Ages,962,Maternal and neonatal disorders,2019,3,Rate,7.01425127851954e-05,9.8121229180519e-05,4.67492592583449e-05,Alabama,1063.0,45.6,0.0,50.3,38.0,1.1,3.7,AL,Alabama,most_restrictive,Alabama,1
32,3648222,1,Deaths,609,Hale County (Alabama),1065.0,1,Total,2,Female,22,All Ages,962,Maternal and neonatal disorders,2019,3,Rate,6.85868317629356e-05,9.44970629033839e-05,4.81796590158441e-05,Alabama,1065.0,38.8,0.0,58.9,40.1,1.0,3.2,AL,Alabama,most_restrictive,Alabama,1
33,3648228,1,Deaths,630,Henry County (Alabama),1067.0,1,Total,2,Female,22,All Ages,962,Maternal and neonatal disorders,2019,3,Rate,3.98360092782602e-05,5.73579743489019e-05,2.62650033336616e-05,Alabama,1067.0,29.1,0.0,74.0,40.1,1.0,4.1,AL,Alabama,most_restrictive,Alabama,1
34,3648234,1,Deaths,636,Houston County (Alabama),1069.0,1,Total,2,Female,22,All Ages,962,Maternal and neonatal disorders,2019,3,Rate,5.19079635708066e-05,6.71952146505103e-05,3.82452492248406e-05,Alabama,1069.0,30.4,34.2,74.3,39.7,0.9,3.8,AL,Alabama,most_restrictive,Alabama,1
35,3648240,1,Deaths,577,Jackson County (Alabama),1071.0,1,Total,2,Female,22,All Ages,962,Maternal and neonatal disorders,2019,3,Rate,3.9992458815062e-05,5.3468991058762e-05,2.84696876750597e-05,Alabama,1071.0,37.5,15.2,77.4,33.6,1.4,3.0,AL,Alabama,most_restrictive,Alabama,1
36,3648246,1,Deaths,596,Jefferson County (Alabama),1073.0,1,Total,2,Female,22,All Ages,962,Maternal and neonatal disorders,2019,3,Rate,7.18803084479805e-05,8.29769027039422e-05,6.1494356559385e-05,Alabama,1073.0,26.3,44.8,68.8,30.8,1.1,3.2,AL,Alabama,most_restrictive,Alabama,1
37,3648252,1,Deaths,590,Lamar County (Alabama),1075.0,1,Total,2,Female,22,All Ages,962,Maternal and neonatal disorders,2019,3,Rate,5.633247811666e-05,7.97047039405373e-05,3.81556754707725e-05,Alabama,1075.0,29.4,0.0,68.2,36.0,1.0,3.2,AL,Alabama,most_restrictive,Alabama,1
38,3648258,1,Deaths,574,Lauderdale County (Alabama),1077.0,1,Total,2,Female,22,All Ages,962,Maternal and neonatal disorders,2019,3,Rate,3.34862355628634e-05,4.3086813868031e-05,2.54499176611218e-05,Alabama,1077.0,25.2,16.5,70.4,32.4,1.4,3.0,AL,Alabama,most_restrictive,Alabama,1
39,3648264,1,Deaths,580,Lawrence County (Alabama),1079.0,1,Total,2,Female,22,All Ages,962,Maternal and neonatal disorders,2019,3,Rate,3.9075614283291e-05,5.35742301740102e-05,2.83628912633978e-05,Alabama,1079.0,28.0,0.0,73.4,35.9,1.5,3.1,AL,Alabama,most_restrictive,Alabama,1
40,3648270,1,Deaths,613,Lee County (Alabama),1081.0,1,Total,2,Female,22,All Ages,962,Maternal and neonatal disorders,2019,3,Rate,4.40257791746105e-05,5.491238020346e-05,3.38406534556946e-05,Alabama,1081.0,25.6,15.3,81.4,29.0,1.2,3.5,AL,Alabama,most_restrictive,Alabama,1
41,3648276,1,Deaths,575,Limestone County (Alabama),1083.0,1,Total,2,Female,22,All Ages,962,Maternal and neonatal disorders,2019,3,Rate,3.68328075148707e-05,4.7628784884138e-05,2.71443532581251e-05,Alabama,1083.0,19.7,5.9,72.6,32.5,1.3,3.5,AL,Alabama,most_restrictive,Alabama,1
42,3648282,1,Deaths,620,Lowndes County (Alabama),1085.0,1,Total,2,Female,22,All Ages,962,Maternal and neonatal disorders,2019,3,Rate,5.84909398601875e-05,8.05734368257588e-05,3.96199686638776e-05,Alabama,1085.0,47.7,0.0,68.5,41.8,1.3,3.3,AL,Alabama,most_restrictive,Alabama,1
43,3648288,1,Deaths,616,Macon County (Alabama),1087.0,1,Total,2,Female,22,All Ages,962,Maternal and neonatal disorders,2019,3,Rate,5.38873310527536e-05,7.30280770550447e-05,3.7668666004171e-05,Alabama,1087.0,42.5,10.2,70.6,35.2,1.1,3.6,AL,Alabama,most_restrictive,Alabama,1
44,3648294,1,Deaths,576,Madison County (Alabama),1089.0,1,Total,2,Female,22,All Ages,962,Maternal and neonatal disorders,2019,3,Rate,3.85662476423817e-05,4.71330269924628e-05,3.09429966055689e-05,Alabama,1089.0,19.6,24.8,70.0,31.0,1.2,3.4,AL,Alabama,most_restrictive,Alabama,1
45,3648300,1,Deaths,617,Marengo County (Alabama),1091.0,1,Total,2,Female,22,All Ages,962,Maternal and neonatal disorders,2019,3,Rate,5.73517872631884e-05,7.65647144988323e-05,4.12902318092899e-05,Alabama,1091.0,33.0,0.0,66.0,38.6,1.0,4.6,AL,Alabama,most_restrictive,Alabama,1
46,3648306,1,Deaths,585,Marion County (Alabama),1093.0,1,Total,2,Female,22,All Ages,962,Maternal and neonatal disorders,2019,3,Rate,4.93572453674545e-05,6.57815431174225e-05,3.59968950366788e-05,Alabama,1093.0,33.7,0.0,70.4,35.3,1.5,3.0,AL,Alabama,most_restrictive,Alabama,1
47,3648312,1,Deaths,582,Marshall County (Alabama),1095.0,1,Total,2,Female,22,All Ages,962,Maternal and neonatal disorders,2019,3,Rate,4.88955547298247e-05,6.30512823258806e-05,3.68856176410675e-05,Alabama,1095.0,30.8,10.2,56.7,32.7,1.3,2.8,AL,Alabama,most_restrictive,Alabama,1
48,3648318,1,Deaths,640,Mobile County (Alabama),1097.0,1,Total,2,Female,22,All Ages,962,Maternal and neonatal disorders,2019,3,Rate,5.69663220833121e-05,6.86484889186731e-05,4.69570969888724e-05,Alabama,1097.0,31.3,35.5,80.4,33.4,1.2,3.5,AL,Alabama,most_restrictive,Alabama,1
49,3648324,1,Deaths,629,Monroe County (Alabama),1099.0,1,Total,2,Female,22,All Ages,962,Maternal and neonatal disorders,2019,3,Rate,4.50123832562153e-05,6.13285309321563e-05,3.10022441832579e-05,Alabama,1099.0,32.6,0.0,77.2,37.5,0.8,5.5,AL,Alabama,most_restrictive,Alabama,1
50,3648330,1,Deaths,619,Montgomery County (Alabama),1101.0,1,Total,2,Female,22,All Ages,962,Maternal and neonatal disorders,2019,3,Rate,6.78300632715809e-05,8.14949225771242e-05,5.51578533813964e-05,Alabama,1101.0,32.1,24.4,64.9,37.8,1.2,3.1,AL,Alabama,most_restrictive,Alabama,1
51,3648336,1,Deaths,581,Morgan County (Alabama),1103.0,1,Total,2,Female,22,All Ages,962,Maternal and neonatal disorders,2019,3,Rate,3.95157872582215e-05,5.16752563195355e-05,2.87462060414679e-05,Alabama,1103.0,26.7,19.7,61.8,33.3,1.4,3.1,AL,Alabama,most_restrictive,Alabama,1
52,3648342,1,Deaths,611,Perry County (Alabama),1105.0,1,Total,2,Female,22,All Ages,962,Maternal and neonatal disorders,2019,3,Rate,5.68243772655799e-05,7.89272182119346e-05,3.76652573249675e-05,Alabama,1105.0,54.6,0.0,61.3,42.6,1.1,3.3,AL,Alabama,most_restrictive,Alabama,1
53,3648348,1,Deaths,600,Pickens County (Alabama),1107.0,1,Total,2,Female,22,All Ages,962,Maternal and neonatal disorders,2019,3,Rate,7.20341397138907e-05,9.5020723285624e-05,5.30215911022177e-05,Alabama,1107.0,37.4,0.0,61.1,36.6,1.0,3.2,AL,Alabama,most_restrictive,Alabama,1
54,3648354,1,Deaths,625,Pike County (Alabama),1109.0,1,Total,2,Female,22,All Ages,962,Maternal and neonatal disorders,2019,3,Rate,4.8681695399371e-05,6.48600629839264e-05,3.48412713633225e-05,Alabama,1109.0,31.4,0.0,75.6,38.5,1.1,2.9,AL,Alabama,most_restrictive,Alabama,1
55,3648360,1,Deaths,601,Randolph County (Alabama),1111.0,1,Total,2,Female,22,All Ages,962,Maternal and neonatal disorders,2019,3,Rate,5.0897901094203e-05,6.75819754713617e-05,3.66788844842396e-05,Alabama,1111.0,35.6,0.0,67.7,36.7,1.1,2.7,AL,Alabama,most_restrictive,Alabama,1
56,3648366,1,Deaths,618,Russell County (Alabama),1113.0,1,Total,2,Female,22,All Ages,962,Maternal and neonatal disorders,2019,3,Rate,7.643714233305e-05,9.90956981371327e-05,5.80125006385984e-05,Alabama,1113.0,37.3,3.3,78.3,32.3,1.2,3.5,AL,Alabama,most_restrictive,Alabama,1
57,3648372,1,Deaths,592,Saint Clair County (Alabama),1115.0,1,Total,2,Female,22,All Ages,962,Maternal and neonatal disorders,2019,3,Rate,4.71636060916642e-05,6.03329622845022e-05,3.57876507792034e-05,Alabama,1115.0,21.5,0.0,72.4,34.0,1.1,3.2,AL,Alabama,most_restrictive,Alabama,1
58,3648378,1,Deaths,599,Shelby County (Alabama),1117.0,1,Total,2,Female,22,All Ages,962,Maternal and neonatal disorders,2019,3,Rate,3.76483352589378e-05,4.64893755907798e-05,2.93435610547324e-05,Alabama,1117.0,13.2,19.2,75.2,29.6,1.0,2.8,AL,Alabama,most_restrictive,Alabama,1
59,3648384,1,Deaths,610,Sumter County (Alabama),1119.0,1,Total,2,Female,22,All Ages,962,Maternal and neonatal disorders,2019,3,Rate,6.37694051560127e-05,8.63853858814735e-05,4.58751845360294e-05,Alabama,1119.0,47.0,0.0,74.3,39.8,1.2,4.2,AL,Alabama,most_restrictive,Alabama,1
60,3648390,1,Deaths,597,Talladega County (Alabama),1121.0,1,Total,2,Female,22,All Ages,962,Maternal and neonatal disorders,2019,3,Rate,4.97675162639385e-05,6.40560725289378e-05,3.7603952832504e-05,Alabama,1121.0,35.3,2.4,69.7,37.8,0.8,2.2,AL,Alabama,most_restrictive,Alabama,1
61,3648396,1,Deaths,606,Tallapoosa County (Alabama),1123.0,1,Total,2,Female,22,All Ages,962,Maternal and neonatal disorders,2019,3,Rate,4.78526042860771e-05,6.3131921955239e-05,3.52802182441367e-05,Alabama,1123.0,34.1,29.0,78.3,34.5,1.1,4.5,AL,Alabama,most_restrictive,Alabama,1
62,3648402,1,Deaths,598,Tuscaloosa County (Alabama),1125.0,1,Total,2,Female,22,All Ages,962,Maternal and neonatal disorders,2019,3,Rate,6.45710528044393e-05,7.75109686349877e-05,5.32850535172985e-05,Alabama,1125.0,26.6,21.9,58.2,33.4,1.1,3.1,AL,Alabama,most_restrictive,Alabama,1
63,3648408,1,Deaths,591,Walker County (Alabama),1127.0,1,Total,2,Female,22,All Ages,962,Maternal and neonatal disorders,2019,3,Rate,6.18125896603719e-05,7.7641087271512e-05,4.6394008314568e-05,Alabama,1127.0,31.2,21.6,69.3,33.1,1.1,2.9,AL,Alabama,most_restrictive,Alabama,1
64,3648414,1,Deaths,632,Washington County (Alabama),1129.0,1,Total,2,Female,22,All Ages,962,Maternal and neonatal disorders,2019,3,Rate,4.37572414319898e-05,6.00364927128787e-05,3.15626312917439e-05,Alabama,1129.0,33.9,0.0,80.2,36.5,1.0,4.1,AL,Alabama,most_restrictive,Alabama,1
65,3648420,1,Deaths,623,Wilcox County (Alabama),1131.0,1,Total,2,Female,22,All Ages,962,Maternal and neonatal disorders,2019,3,Rate,7.24757084729457e-05,9.92890054933104e-05,5.01817883169292e-05,Alabama,1131.0,49.0,0.0,66.6,44.6,1.1,5.1,AL,Alabama,most_restrictive,Alabama,1
66,3648426,1,Deaths,587,Winston County (Alabama),1133.0,1,Total,2,Female,22,All Ages,962,Maternal and neonatal disorders,2019,3,Rate,4.68739350661841e-05,6.63006522595118e-05,3.1992925908364e-05,Alabama,1133.0,35.3,0.0,70.6,34.4,1.3,2.6,AL,Alabama,most_restrictive,Alabama,1
67,3655584,1,Deaths,671,Apache County (Arizona),4001.0,1,Total,2,Female,22,All Ages,962,Maternal and neonatal disorders,2019,3,Rate,5.21932180558792e-05,6.48361007817025e-05,4.07335451501641e-05,Arizona,4001.0,53.0,11.0,66.6,39.2,3.9,2.0,AZ,Arizona,restrictive,Arizona,1
68,3655590,1,Deaths,681,Cochise County (Arizona),4003.0,1,Total,2,Female,22,All Ages,962,Maternal and neonatal disorders,2019,3,Rate,3.23972470932604e-05,4.25117161502991e-05,2.41812710936691e-05,Arizona,4003.0,30.1,3.2,49.7,28.6,0.9,2.3,AZ,Arizona,restrictive,Arizona,1
69,3655596,1,Deaths,669,Coconino County (Arizona),4005.0,1,Total,2,Female,22,All Ages,962,Maternal and neonatal disorders,2019,3,Rate,2.85111292577294e-05,3.63024480270058e-05,2.13987941013359e-05,Arizona,4005.0,24.8,23.5,75.2,28.8,1.4,1.3,AZ,Arizona,restrictive,Arizona,1
70,3655602,1,Deaths,673,Gila County (Arizona),4007.0,1,Total,2,Female,22,All Ages,962,Maternal and neonatal disorders,2019,3,Rate,3.18301790326193e-05,4.14501786242735e-05,2.34302184260305e-05,Arizona,4007.0,31.6,11.0,69.5,31.0,1.1,1.3,AZ,Arizona,restrictive,Arizona,1
71,3655608,1,Deaths,677,Graham County (Arizona),4009.0,1,Total,2,Female,22,All Ages,962,Maternal and neonatal disorders,2019,3,Rate,4.36679316695455e-05,5.67319980476232e-05,3.21365871082947e-05,Arizona,4009.0,33.0,5.5,68.5,28.0,1.2,1.5,AZ,Arizona,restrictive,Arizona,1
72,3655614,1,Deaths,676,Greenlee County (Arizona),4011.0,1,Total,2,Female,22,All Ages,962,Maternal and neonatal disorders,2019,3,Rate,3.50504788035817e-05,5.13773867488962e-05,2.31492480999756e-05,Arizona,4011.0,17.3,0.0,72.3,32.9,1.1,1.6,AZ,Arizona,restrictive,Arizona,1
73,3655620,1,Deaths,675,Maricopa County (Arizona),4013.0,1,Total,2,Female,22,All Ages,962,Maternal and neonatal disorders,2019,3,Rate,3.12769736993732e-05,3.45741840954313e-05,2.79229378607998e-05,Arizona,4013.0,21.6,22.1,74.9,27.8,1.0,1.2,AZ,Arizona,restrictive,Arizona,1
74,3655626,1,Deaths,670,Mohave County (Arizona),4015.0,1,Total,2,Female,22,All Ages,962,Maternal and neonatal disorders,2019,3,Rate,2.42234131071432e-05,3.01862565314118e-05,1.89767100271603e-05,Arizona,4015.0,30.3,11.1,73.3,30.4,1.0,1.1,AZ,Arizona,restrictive,Arizona,1
75,3655632,1,Deaths,668,Navajo County (Arizona),4017.0,1,Total,2,Female,22,All Ages,962,Maternal and neonatal disorders,2019,3,Rate,4.78782030266099e-05,6.13331765792925e-05,3.69058430529059e-05,Arizona,4017.0,42.6,7.2,68.3,36.4,2.1,1.6,AZ,Arizona,restrictive,Arizona,1
76,3655638,1,Deaths,680,Pima County (Arizona),4019.0,1,Total,2,Female,22,All Ages,962,Maternal and neonatal disorders,2019,3,Rate,2.76886795861229e-05,3.31243811514935e-05,2.29985553605147e-05,Arizona,4019.0,26.3,24.5,65.6,28.7,1.2,2.2,AZ,Arizona,restrictive,Arizona,1
77,3655644,1,Deaths,679,Pinal County (Arizona),4021.0,1,Total,2,Female,22,All Ages,962,Maternal and neonatal disorders,2019,3,Rate,3.0940833585924e-05,3.81124271794604e-05,2.45514641385182e-05,Arizona,4021.0,23.7,5.2,75.0,34.0,1.2,1.3,AZ,Arizona,restrictive,Arizona,1
78,3655650,1,Deaths,682,Santa Cruz County (Arizona),4023.0,1,Total,2,Female,22,All Ages,962,Maternal and neonatal disorders,2019,3,Rate,3.17223543865433e-05,4.60124606144986e-05,1.99387321511503e-05,Arizona,4023.0,42.2,20.6,51.6,25.4,1.0,1.2,AZ,Arizona,restrictive,Arizona,1
79,3655656,1,Deaths,672,Yavapai County (Arizona),4025.0,1,Total,2,Female,22,All Ages,962,Maternal and neonatal disorders,2019,3,Rate,1.99565096086935e-05,2.54668073262475e-05,1.49703784277626e-05,Arizona,4025.0,22.0,11.4,75.7,25.8,1.0,1.0,AZ,Arizona,restrictive,Arizona,1
80,3655662,1,Deaths,94063,La Paz County (Arizona),4012.0,1,Total,2,Female,22,All Ages,962,Maternal and neonatal disorders,2019,3,Rate,4.2219984345737e-05,5.14918974428129e-05,3.38462571190826e-05,Arizona,4012.0,33.1,0.0,65.1,37.5,1.0,1.1,AZ,Arizona,restrictive,Arizona,1
81,3655663,1,Deaths,94063,Yuma County (Arizona),4027.0,1,Total,2,Female,22,All Ages,962,Maternal and neonatal disorders,2019,3,Rate,4.2219984345737e-05,5.14918974428129e-05,3.38462571190826e-05,Arizona,4027.0,39.8,18.0,62.5,35.2,1.6,1.5,AZ,Arizona,restrictive,Arizona,1
82,3664440,1,Deaths,733,Arkansas County (Arkansas),5001.0,1,Total,2,Female,22,All Ages,962,Maternal and neonatal disorders,2019,3,Rate,4.0254447260065e-05,5.5628582539881e-05,2.80918554587644e-05,Arkansas,5001.0,27.1,11.1,73.9,37.0,0.7,2.8,AR,Arkansas,most_restrictive,Arkansas,1
83,3664446,1,Deaths,756,Ashley County (Arkansas),5003.0,1,Total,2,Female,22,All Ages,962,Maternal and neonatal disorders,2019,3,Rate,4.34046924525704e-05,5.87707613301389e-05,3.00384448526756e-05,Arkansas,5003.0,37.8,10.0,69.1,40.2,0.9,5.0,AR,Arkansas,most_restrictive,Arkansas,1
